"","Site_ID","Date","Site_Subplot","Type","HoboName","Temp","Min","Max","Median","CV","Range","Subplot","LoggerID","TRT","Age","Day","Heatdome","tmeanC","tminC","tmaxC","RangeR","MeanOffset","MinOffset","MaxOffset","RangeOffset"
"101","C1-17",2021-06-07,"C1-17_S","Air","9784512.csv",10.02525,7.381,12.497,10.307,18.8854555024248,5.116,"S","9784512","THIN",63,7,0,10.45,5.65,15.25,9.6,0.42475,-1.731,2.753,4.484
"102","C1-17",2021-06-20,"C1-17_N","Air","9784544.csv",16.96775,12.594,21.855,17.665,19.4643830246515,9.261,"N","9784544","THIN",63,20,0,20.1,11.35,28.85,17.5,3.13225,-1.244,6.995,8.239
"103","C1-17",2021-06-27,"C1-17_S","Air","9784512.csv",30.5070833333333,19.092,40.3,32.913,26.551613972197,21.208,"S","9784512","THIN",63,27,1,31.85,20.35,43.35,23,1.34291666666667,1.258,3.05,1.792
"104","C1-17",2021-06-28,"C1-17_S","Air","9784512.csv",27.0736666666667,16.046,33.118,29.603,22.4761896244252,17.072,"S","9784512","THIN",63,28,1,25.95,16.05,35.85,19.8,-1.12366666666667,0.00400000000000134,2.732,2.728
"105","C1-17",2021-06-10,"C1-17_N","Air","9784544.csv",12.1124166666667,9.373,16.237,11.6735,19.4626223866119,6.864,"N","9784544","THIN",63,10,0,12.1,6.85,17.35,10.5,-0.0124166666666667,-2.523,1.113,3.636
"106","C1-17",2021-06-11,"C1-17_N","Air","9784544.csv",11.03125,9.965,12.207,11.0415,7.12482150198113,2.242,"N","9784544","THIN",63,11,0,12,8.15,15.85,7.7,0.96875,-1.815,3.643,5.458
"107","C1-17",2021-06-03,"C1-17_S","Air","9784512.csv",13.5138333333333,10.944,15.187,13.894,9.66897839226107,4.243,"S","9784512","THIN",63,3,0,12.25,5.35,19.15,13.8,-1.26383333333333,-5.594,3.963,9.557
"108","C1-17",2021-06-04,"C1-17_S","Air","9784512.csv",13.53025,9.176,17.189,13.9895,22.1466372090036,8.013,"S","9784512","THIN",63,4,0,13.75,7.85,19.65,11.8,0.219749999999999,-1.326,2.461,3.787
"109","C1-17",2021-06-01,"C1-17_S","Air","9784512.csv",21.32825,16.332,26.292,21.3795,16.9533183130459,9.96,"S","9784512","THIN",63,1,0,20.25,10.55,29.95,19.4,-1.07825,-5.782,3.658,9.44
"110","C1-17",2021-06-02,"C1-17_S","Air","9784512.csv",16.716,12.98,20.901,16.1415,17.1042801115288,7.921,"S","9784512","THIN",63,2,0,17.3,11.15,23.45,12.3,0.584,-1.83,2.549,4.379
"111","C1-17",2021-06-19,"C1-17_N","Air","9784544.csv",14.0151666666667,12.013,18.616,13.702,14.5111808466038,6.603,"N","9784544","THIN",63,19,0,14.6,8.35,20.85,12.5,0.584833333333334,-3.663,2.234,5.897
